Date,TESLA,SP500,DBS,ST
23/03/2001,,0.019713495,0.018957567,0.017846091
26/03/2001,,0.011219213,0.030771659,-0.003258296
27/03/2001,,0.025253391,-0.006135638,-0.026065768
28/03/2001,,-0.024733005,-0.024636021,-0.012568013
29/03/2001,,-0.004640984,-0.018957567,-0.015330798
30/03/2001,,0.010726704,0.037491249,0.027863363
02/04/2001,,-0.012540274,-0.012317543,-0.015564378
03/04/2001,,-0.034998444,0.012317543,-0.002752157
04/04/2001,,-0.002905361,0.012237977,-0.012211258
05/04/2001,,0.042752964,0.006028337,0.030929466
06/04/2001,,-0.020186047,0,-0.003336413
09/04/2001,,0.008084703,-0.081581385,-0.049336052
10/04/2001,,0.026706184,0,0.0040878
11/04/2001,,-0.00213343,0,0.004768644
12/04/2001,,0.014991406,-0.103189181,-0.021782162
13/04/2001,,0,0,0
16/04/2001,,-0.003232935,0.042626167,0.004172271
17/04/2001,,0.010229945,-0.007033458,-0.016022119
18/04/2001,,0.038153247,0.04783934,0.023984656
19/04/2001,,0.012472773,0.026332374,0.025186188
20/04/2001,,-0.008587457,-0.013117677,0.004806026
23/04/2001,,-0.015093464,0.032366257,0.019008268
24/04/2001,,-0.012236011,0,-0.001513852
25/04/2001,,0.015815145,0.012702546,-0.010445472
26/04/2001,,0.004684838,-0.038526368,-0.004536956
27/04/2001,,0.014898349,0.038526368,0.010886526
30/04/2001,,-0.002869121,0,0.018400441
01/05/2001,,0.013498357,0,0
02/05/2001,,0.000781413,0.018648896,0.006375249
03/05/2001,,-0.014984323,-0.006177737,-0.001578348
04/05/2001,,0.014337135,-0.037964837,-0.01291211
07/05/2001,,-0.002450478,0,0
08/05/2001,,-0.001829914,-0.006457448,-0.009152418
09/05/2001,,-0.00449789,-0.019703197,-0.012345059
10/05/2001,,-0.00028677,0.013127955,0.003535009
11/05/2001,,-0.007605451,0.032158551,0.009953485
14/05/2001,,0.00260564,-0.019125861,-0.013391974
15/05/2001,,0.000416273,-0.006457448,0.004477943
